"term"	"medcodeid"	"originalreadcode"	"cleansedreadcode"	"snomedctconceptid"	"snomedctdescriptionid"	"release"	"emiscodecategoryid"
"Type I diabetes mellitus with arthropathy"	"84681000006118"	"C108H-1"	"C108H11"	"314893005"	"459294012"	""	32
"Type 1 diabetes mellitus with neuropathic arthropathy"	"459296014"	"C10EJ"	"C10EJ00"	"71771000119100"	"3010513018"	""	32
"Type 1 diabetes mellitus with neuropathic arthropathy"	"84391000006111"	"C108J-2"	"C108J12"	"71771000119100"	"3010513018"	""	32
"Type II diabetes mellitus with peripheral angiopathy"	"459306016"	"C10FF-1"	"C10FF11"	"314902007"	"459306016"	""	32
"Type II diabetes mellitus with peripheral angiopathy"	"84961000006116"	"C109F-1"	"C109F11"	"314902007"	"459306016"	""	32
"Type 2 diabetes mellitus with peripheral angiopathy"	"459308015"	"C10FF"	"C10FF00"	"314902007"	"459308015"	""	32
"Type 2 diabetes mellitus with peripheral angiopathy"	"84591000006119"	"C109F-2"	"C109F12"	"314902007"	"459308015"	""	32
"Non-insulin dependent diabetes mellitus with arthropathy"	"459309011"	"C109G"	"C109G00"	"314903002"	"459309011"	""	32
"Type 2 diabetes mellitus with arthropathy"	"459310018"	"C10FG"	"C10FG00"	"314903002"	"459310018"	""	32
"Type 2 diabetes mellitus with arthropathy"	"84491000006118"	"C109G-2"	"C109G12"	"314903002"	"459310018"	""	32
"Type II diabetes mellitus with arthropathy"	"459311019"	"C10FG-1"	"C10FG11"	"314903002"	"459311019"	""	32
"Type II diabetes mellitus with arthropathy"	"84861000006112"	"C109G-1"	"C109G11"	"314903002"	"459311019"	""	32
"Type II diabetes mellitus with neuropathic arthropathy"	"459312014"	"C10FH-1"	"C10FH11"	"314904008"	"459312014"	""	32
"Type II diabetes mellitus with neuropathic arthropathy"	"84941000006115"	"C109H-1"	"C109H11"	"314904008"	"459312014"	""	32
"Type 2 diabetes mellitus with neuropathic arthropathy"	"459313016"	"C10FH"	"C10FH00"	"314904008"	"459313016"	""	32
"Type 2 diabetes mellitus with neuropathic arthropathy"	"84571000006115"	"C109H-2"	"C109H12"	"314904008"	"459313016"	""	32
"Diabetic lipid lowering diet"	"459694018"	"13AB"	"13AB.00"	"315207000"	"459694018"	""	17
"Diabetic weight reducing diet"	"459695017"	"13AC"	"13AC.00"	"315208005"	"459695017"	""	17
"Diabetes mellitus excluded"	"459705019"	"1I0"	"1I0..00"	"315216001"	"459705019"	""	27
"[V]Screening for diabetes mellitus"	"461270012"	"ZV771"	"ZV77100"	"171183004"	"265249012"	""	1
"Maturity-onset diabetes of the young"	"483882011"	"C10C"	"C10C.00"	"609561005"	"2967884018"	""	32
"Maturity onset diabetes in youth"	"483886014"	"C10C-1"	"C10C.11"	"609561005"	"2967884018"	""	32
"NIDDM - Non-insulin dependent diabetes mellitus"	"493773010"	"C109-1"	"C109.11"	"44054006"	"493773010"	""	32
"Type II diabetes mellitus"	"493774016"	"C10F-1"	"C10F.11"	"44054006"	"493774016"	""	32
"Type II diabetes mellitus"	"84841000006113"	"C109-3"	"C109.13"	"44054006"	"493774016"	""	32
"Type I diabetes mellitus"	"494564012"	"C10E-1"	"C10E.11"	"46635009"	"494564012"	""	32
"Type I diabetes mellitus"	"84651000006114"	"C108-3"	"C108.13"	"46635009"	"494564012"	""	32
"Insulin treated Type II diabetes mellitus"	"1223147012"	"C10FJ-1"	"C10FJ11"	"237599002"	"1223147012"	""	32
"Insulin treated Type II diabetes mellitus"	"841351000006110"	"C109J-2"	"C109J12"	"237599002"	"1223147012"	""	32
"Insulin treated non-insulin dependent diabetes mellitus"	"1223148019"	"C109J-1"	"C109J11"	"237599002"	"1223148019"	""	32
"[V]Dietary counselling in diabetes mellitus"	"1227774019"	"ZV653-2"	"ZV65312"	"284350006"	"2575925018"	""	32
"[V]Screening for diabetes mellitus (DM)"	"1227832019"	"ZV771-1"	"ZV77111"	"171183004"	"265249012"	""	1
"Autonomic neuropathy due to diabetes"	"1230890017"	"F1711"	"F171100"	"50620007"	"1230890017"	""	32
"Non proliferative diabetic retinopathy"	"1484867016"	"F4206"	"F420600"	"390834004"	"1484867016"	""	32
"Seen by diabetologist"	"1484875010"	"9N2d"	"9N2d.00"	"390842003"	"1484875010"	""	37
"O/E - no right diabetic retinopathy"	"1484883016"	"2BBJ"	"2BBJ.00"	"390850007"	"1484883016"	""	27
"O/E - no left diabetic retinopathy"	"1484886012"	"2BBK"	"2BBK.00"	"390853009"	"1484886012"	""	27
"O/E - diabetic maculopathy present both eyes"	"1484887015"	"2BBL"	"2BBL.00"	"390854003"	"1484887015"	""	27
"O/E - diabetic maculopathy absent both eyes"	"1484888013"	"2BBM"	"2BBM.00"	"390855002"	"1484888013"	""	27
"Did not attend diabetic clinic"	"1484954015"	"9N4I"	"9N4I.00"	"390922008"	"2470341017"	""	37
"O/E - Right diabetic foot at low risk"	"1488393013"	"2G5E"	"2G5E.00"	"394671009"	"1488393013"	""	27
"O/E - Right diabetic foot at high risk"	"1488394019"	"2G5G"	"2G5G.00"	"394672002"	"1488394019"	""	27
"O/E - Right diabetic foot - ulcerated"	"1488395018"	"2G5H"	"2G5H.00"	"394673007"	"1488395018"	""	27
"O/E - Left diabetic foot - ulcerated"	"1488396017"	"2G5L"	"2G5L.00"	"394674001"	"1488396017"	""	27
"O/E - Left diabetic foot at low risk"	"1488397014"	"2G5I"	"2G5I.00"	"394675000"	"1488397014"	""	27
"O/E - Left diabetic foot at high risk"	"1488398016"	"2G5K"	"2G5K.00"	"394676004"	"1488398016"	""	27
"O/E - Left diabetic foot at moderate risk"	"1488403015"	"2G5J"	"2G5J.00"	"394681008"	"1488403015"	""	27
"O/E - Right diabetic foot at moderate risk"	"1488404014"	"2G5F"	"2G5F.00"	"394682001"	"1488404014"	""	27
"Diabetic foot risk assessment"	"1488405010"	"66AW"	"66AW.00"	"394683006"	"1488405010"	""	1
"Diabetes medication review"	"1488441010"	"8B3l"	"8B3l.00"	"394725008"	"1488441010"	""	32
"Diabetic monitoring not required"	"1488749011"	"66b1"	"66b1.00"	"395049009"	"1488749011"	""	1
"Urine screening test for diabetes"	"1488822019"	"46Z0"	"46Z0.00"	"395123002"	"1488822019"	""	47
"Hyperosmolar non-ketotic state in type 2 diabetes mellitus"	"1488898011"	"C10FK"	"C10FK00"	"395204000"	"1488898011"	""	32
"Hyperosmolar non-ketotic state in type 2 diabetes mellitus"	"850691000006118"	"C109K"	"C109K00"	"395204000"	"1488898011"	""	32
"Type 1 diabetes mellitus with persistent microalbuminuria"	"1780311019"	"C10EL"	"C10EL00"	"401110002"	"1780311019"	""	32
"Diabetic foot examination"	"1780386019"	"66Ab"	"66Ab.00"	"401191002"	"1780386019"	""	1
"High risk proliferative diabetic retinopathy"	"1785163015"	"F4207"	"F420700"	"312907002"	"1785163015"	""	32
"Background diabetic retinopathy"	"1785332013"	"F4200"	"F420000"	"390834004"	"1785332013"	""	32
"Patient on maximal tolerated therapy for diabetes"	"2159170012"	"8BL2"	"8BL2.00"	"407569005"	"2159170012"	""	32
"Seen in diabetic foot clinic"	"2159271018"	"9N1i"	"9N1i.00"	"407672007"	"2159271018"	""	37
"Diabetic retinopathy 12 month review"	"2159948010"	"8HBG"	"8HBG.00"	"408384004"	"2159948010"	""	40
"Diabetic retinopathy 6 month review"	"2159949019"	"8HBH"	"8HBH.00"	"408385003"	"2159949019"	""	40
"Under care of diabetologist"	"2159955012"	"9NN8"	"9NN8.00"	"408391001"	"2159955012"	""	37
"Under care of diabetes specialist nurse"	"2159956013"	"9NN9"	"9NN9.00"	"408392008"	"2159956013"	""	37
"Patient held diabetic record issued"	"2159969012"	"9360"	"9360.00"	"408405001"	"2159969012"	""	37
"O/E - right eye background diabetic retinopathy"	"2159973010"	"2BBP"	"2BBP.00"	"408409007"	"2159973010"	""	27
"O/E - left eye background diabetic retinopathy"	"2159974016"	"2BBQ"	"2BBQ.00"	"408410002"	"2159974016"	""	27
"O/E - right eye preproliferative diabetic retinopathy"	"2159975015"	"2BBR"	"2BBR.00"	"408411003"	"2159975015"	""	27
"O/E - left eye preproliferative diabetic retinopathy"	"2159976019"	"2BBS"	"2BBS.00"	"408412005"	"2159976019"	""	27
"O/E - right eye proliferative diabetic retinopathy"	"2159977011"	"2BBT"	"2BBT.00"	"408413000"	"2159977011"	""	27
"O/E - left eye proliferative diabetic retinopathy"	"2159978018"	"2BBV"	"2BBV.00"	"408414006"	"2159978018"	""	27
"Maculopathy of right eye with diabetes mellitus"	"2159979014"	"2BBW"	"2BBW.00"	"769244003"	"3698428016"	""	27
"Maculopathy of left eye with diabetes mellitus"	"2159980012"	"2BBX"	"2BBX.00"	"769245002"	"3698426017"	""	27
"Diabetic medicine"	"2160025013"	"9b920"	"9b92000"	"408475000"	"2160025013"	""	37
"Diabetic medicine"	"1713371000006112"	"EMISNQDI43"	""	"1713371000006108"	"1713371000006112"	""	37
"Diabetic foot examination declined"	"2474309019"	"8I3W"	"8I3W.00"	"412752009"	"2474309019"	""	32
"Diabetes clinical management plan"	"2474334019"	"8CR2"	"8CR2.00"	"736284000"	"3517021014"	""	32
"Pan retinal photocoagulation for diabetes"	"2474726011"	"7276"	"7276.00"	"413180006"	"2474726011"	""	32
"Maturity onset diabetes in youth type 1"	"2476117016"	"C10C-2"	"C10C.12"	"609562003"	"2967867012"	""	32
"Transition of diabetes care options discussed"	"2532974016"	"8CP2"	"8CP2.00"	"415744000"	"2532974016"	""	32
"O/E - left chronic diabetic foot ulcer"	"2532976019"	"2G5W"	"2G5W.00"	"414890007"	"2532976019"	""	27
"O/E - right chronic diabetic foot ulcer"	"2532977011"	"2G5V"	"2G5V.00"	"414906009"	"2532977011"	""	27
"Referral to diabetes preconception counselling clinic"	"2533106011"	"8HTe"	"8HTe.00"	"415269004"	"2533106011"	""	40
"Agreeing on diabetes care plan"	"2548271013"	"8CS0"	"8CS0.00"	"703040004"	"3006793017"	""	32
"Discharged from care of diabetes specialist nurse"	"2548430017"	"8Hg4"	"8Hg4.00"	"417467000"	"2548430017"	""	40
"Provision of patient held diabetes record refused"	"2548633012"	"8I57"	"8I57.00"	"763782001"	"3643843012"	""	32
"Seen in community diabetes specialist clinic"	"2549069011"	"9N0n"	"9N0n.00"	"416554009"	"2549069011"	""	37
"Seen in community diabetic specialist nurse clinic"	"2549222013"	"9N0o"	"9N0o.00"	"416696002"	"2549222013"	""	37
"Seen in diabetic nurse consultant clinic"	"2549778010"	"9N0m"	"9N0m.00"	"417566006"	"2549778010"	""	37
"O/E - sight threatening diabetic retinopathy"	"2549896013"	"2BBo"	"2BBo.00"	"417677008"	"2549896013"	""	27
"Diabetic patient unsuitable for digital retinal photography"	"2549901010"	"9OLD"	"9OLD.00"	"417681008"	"2549901010"	""	37
"Diabetes mellitus with ketoacidosis"	"2622193012"	"C101"	"C101.00"	"420422005"	"2622193012"	""	32
"Latent autoimmune diabetes mellitus in adult"	"2674067015"	"C10ER"	"C10ER00"	"426875007"	"2674067015"	""	32
"Non-diabetic hyperglycaemia"	"2990619013"	"C317"	""	"700449008"	"2990619013"	""	32
"Non-diabetic hyperglycaemia"	"8288771000006118"	"^ESCTNO828877"	""	"849171000000106"	"2200821000000114"	""	32
"Other specified diabetes mellitus with multiple comps"	"13751000006117"	"C108y"	"C108y00"	"385041000000108"	"760111000000115"	""	32
"Other specified diabetes mellitus with neurological comps"	"13761000006115"	"C106y"	"C106y00"	"422088007"	"2618195014"	""	32
"Other specified diabetes mellitus with ophthalmic complicatn"	"13771000006110"	"C105y"	"C105y00"	"25093002"	"42062018"	""	32
"Other specified diabetes mellitus with other spec comps"	"13781000006113"	"C10yy"	"C10yy00"	"73211009"	"121589010"	""	32
"Other specified diabetes mellitus with periph circ comps"	"13791000006111"	"C107y"	"C107y00"	"421895002"	"2618203015"	""	32
"Other specified diabetes mellitus with unspecified comps"	"13811000006110"	"C10zy"	"C10zy00"	"74627003"	"123939015"	""	32
"Diabetes monitoring admin.NOS"	"16171000000110"	"9OLZ"	"9OLZ.00"	"713671000000109"	"1564911000000111"	""	37
"Diabetes monitoring administration"	"21631000000117"	"9OL"	"9OL..00"	"713671000000109"	"1564911000000111"	""	37
"Diabetes clinic administration"	"25261000000111"	"9OL-1"	"9OL..11"	"713691000000108"	"1564931000000115"	""	37
"Good compliance with diabetic diet"	"63021000000116"	"66AY"	"66AY.00"	"25351000000101"	"1749251000000114"	""	1
"Poor compliance with diabetic diet"	"63041000000111"	"66Aa"	"66Aa.00"	"25361000000103"	"1749271000000117"	""	1
"Type 1 diabetes mellitus with diabetic cataract"	"84321000006114"	"C108F-2"	"C108F12"	"421920002"	"2618234016"	""	32
"Type 1 diabetes mellitus with diabetic cataract"	"913901000006112"	"C10EF"	"C10EF00"	"421920002"	"2618234016"	""	32
"Type 1 diabetes mellitus with multiple complications"	"84361000006115"	"C1083-2"	"C108312"	"422228004"	"2618232017"	""	32
"Type 1 diabetes mellitus with multiple complications"	"913541000006118"	"C10E3"	"C10E300"	"422228004"	"2618232017"	""	32
"Type 1 diabetes mellitus with nephropathy"	"84371000006110"	"C108D-2"	"C108D12"	"421893009"	"2623054013"	""	32
"Type 1 diabetes mellitus with neurological complications"	"84381000006113"	"C1082-2"	"C108212"	"421468001"	"2618197018"	""	32
"Type 1 diabetes mellitus with neurological complications"	"913511000006117"	"C10E2"	"C10E200"	"421468001"	"2618197018"	""	32
"Type 1 diabetes mellitus with ophthalmic complications"	"84401000006113"	"C1081-2"	"C108112"	"739681000"	"3537386015"	""	32
"Type 1 diabetes mellitus with ophthalmic complications"	"913481000006113"	"C10E1"	"C10E100"	"739681000"	"3537386015"	""	32
"Type 1 diabetes mellitus with polyneuropathy"	"84421000006115"	"C108C-2"	"C108C12"	"713705003"	"3297342019"	""	32
"Type 1 diabetes mellitus with polyneuropathy"	"913811000006115"	"C10EC"	"C10EC00"	"713705003"	"3297342019"	""	32
"Type 1 diabetes mellitus with renal complications"	"84431000006117"	"C1080-2"	"C108012"	"421893009"	"2618211013"	""	32
"Type 1 diabetes mellitus with renal complications"	"913451000006117"	"C10E0"	"C10E000"	"421893009"	"2618211013"	""	32
"Type 1 diabetes mellitus with retinopathy"	"84441000006110"	"C1087-2"	"C108712"	"420789003"	"3699407019"	""	32
"Type 2 diabetes mellitus - poor control"	"84481000006116"	"C1097-2"	"C109712"	"443694000"	"2921019012"	""	32
"Type 2 diabetes mellitus with diabetic cataract"	"84501000006114"	"C109E-2"	"C109E12"	"420756003"	"3688522015"	""	32
"Type 2 diabetes mellitus with diabetic cataract"	"914301000006111"	"C10FE"	"C10FE00"	"420756003"	"3688522015"	""	32
"Type 2 diabetes mellitus with mononeuropathy"	"84531000006118"	"C109A-2"	"C109A12"	"420436000"	"2618201018"	""	32
"Type 2 diabetes mellitus with mononeuropathy"	"914221000006113"	"C10FA"	"C10FA00"	"420436000"	"2618201018"	""	32
"Type 2 diabetes mellitus with nephropathy"	"84551000006113"	"C109C-2"	"C109C12"	"420279001"	"3035432019"	""	32
"Type 2 diabetes mellitus with neurological complications"	"84561000006110"	"C1092-2"	"C109212"	"421326000"	"3695406015"	""	32
"Type 2 diabetes mellitus with ophthalmic complications"	"84581000006117"	"C1091-2"	"C109112"	"422099009"	"3698440016"	""	32
"Type 2 diabetes mellitus with polyneuropathy"	"84601000006110"	"C109B-2"	"C109B12"	"713706002"	"3297353013"	""	32
"Type 2 diabetes mellitus with renal complications"	"84611000006113"	"C1090-2"	"C109012"	"420279001"	"2618208012"	""	32
"Type 2 diabetes mellitus with retinopathy"	"84621000006117"	"C1096-2"	"C109612"	"422034002"	"3699410014"	""	32
"Type I diabetes mellitus poorly controlled"	"84661000006111"	"C1088-1"	"C108811"	"444073006"	"2872487013"	""	32
"Cataract due to diabetes mellitus type 1"	"84691000006115"	"C108F-1"	"C108F11"	"421920002"	"3688521010"	""	32
"Mononeuropathy with type 1 diabetes mellitus"	"84721000006113"	"C108B-1"	"C108B11"	"420918009"	"3697664014"	""	32
"Multiple complications of type 1 diabetes mellitus"	"84731000006111"	"C1083-1"	"C108311"	"422228004"	"2967771016"	""	32
"Type I diabetes mellitus with nephropathy"	"84741000006118"	"C108D-1"	"C108D11"	"421893009"	"2623054013"	""	32
"Type I diabetes mellitus with nephropathy"	"913851000006119"	"C10ED-1"	"C10ED11"	"421893009"	"2623054013"	""	32
"Type I diabetes mellitus with neurological complications"	"84751000006116"	"C1082-1"	"C108211"	"421468001"	"3695401013"	""	32
"Type I diabetes mellitus with neuropathic arthropathy"	"84761000006119"	"C108J-1"	"C108J11"	"71771000119100"	"3010513018"	""	32
"Disorder of eye with type 1 diabetes mellitus"	"84771000006114"	"C1081-1"	"C108111"	"739681000"	"3698438014"	""	32
"Polyneuropathy due to diabetes mellitus type I"	"84791000006110"	"C108C-1"	"C108C11"	"713705003"	"3297390014"	""	32
"Type I diabetes mellitus with renal complications"	"84801000006111"	"C1080-1"	"C108011"	"421893009"	"2623054013"	""	32
"Type I diabetes mellitus with renal complications"	"913461000006115"	"C10E0-1"	"C10E011"	"421893009"	"2623054013"	""	32
"Type I diabetes mellitus with retinopathy"	"84811000006114"	"C1087-1"	"C108711"	"420789003"	"3699407019"	""	32
"Type I diabetes mellitus with retinopathy"	"913671000006113"	"C10E7-1"	"C10E711"	"420789003"	"3699407019"	""	32
"Cataract due to diabetes mellitus type 2"	"84871000006117"	"C109E-1"	"C109E11"	"420756003"	"3688522015"	""	32
"Type II diabetes mellitus with hypoglycaemic coma"	"84891000006116"	"C109D-1"	"C109D11"	"719216001"	"3316336015"	""	32
"Mononeuropathy with type 2 diabetes mellitus"	"84901000006117"	"C109A-1"	"C109A11"	"420436000"	"3697667019"	""	32
"Renal disorder due to type 2 diabetes mellitus"	"84921000006110"	"C109C-1"	"C109C11"	"420279001"	"3013392012"	""	32
"Neurological disorder with diabetes type 2"	"84931000006113"	"C1092-1"	"C109211"	"421326000"	"3695406015"	""	32
"Disorder of eye with type 2 diabetes mellitus"	"84951000006118"	"C1091-1"	"C109111"	"422099009"	"3698440016"	""	32
"Disorder of eye with type 2 diabetes mellitus"	"914051000006113"	"C10F1"	"C10F100"	"422099009"	"3698440016"	""	32
"Type II diabetes mellitus with polyneuropathy"	"84971000006111"	"C109B-1"	"C109B11"	"713706002"	"3297353013"	""	32
"Type II diabetes mellitus with polyneuropathy"	"914251000006116"	"C10FB-1"	"C10FB11"	"713706002"	"3297353013"	""	32
"Type II diabetes mellitus with renal complications"	"84981000006114"	"C1090-1"	"C109011"	"420279001"	"3013392012"	""	32
"Type II diabetes mellitus with renal complications"	"914041000006111"	"C10F0-1"	"C10F011"	"420279001"	"3013392012"	""	32
"Type II diabetes mellitus with retinopathy"	"84991000006112"	"C1096-1"	"C109611"	"422034002"	"3699410014"	""	32
"Type II diabetes mellitus with retinopathy"	"914161000006114"	"C10F6-1"	"C10F611"	"422034002"	"3699410014"	""	32
"Exception reporting - diabetes quality indicators"	"139001000000110"	"9h4"	"9h4..00"	"716911000000104"	"1569461000000117"	""	37
"Excepted from diabetes quality indicators - informed dissent"	"139121000000119"	"9h42"	"9h42.00"	"716031000000106"	"1568591000000119"	""	37
"Self-monitoring of blood and urine glucose"	"147481000006113"	"8A19"	"8A19.00"	"308115004"	"451423011"	""	32
"Self-monitoring of blood glucose"	"147491000006111"	"8A17"	"8A17.00"	"308113006"	"451421013"	""	32
"Self-monitoring of urine glucose"	"147501000006115"	"8A18"	"8A18.00"	"308114000"	"451422018"	""	32
"Retinal abnormality - diabetes-related"	"169731000006118"	"2BBF"	"2BBF.00"	"4855003"	"1230609013"	""	32
"Lipoatrophic diabetes mellitus without complication"	"189711000000119"	"C10M0"	"C10M000"	"112991000000101"	"189711000000119"	""	32
"Informed consent for diabetes national audit"	"189831000000116"	"9M00"	"9M00.00"	"113131000000107"	"189831000000116"	""	37
"Informed dissent for diabetes national audit"	"189841000000113"	"9M10"	"9M10.00"	"113141000000103"	"189841000000113"	""	37
"Diabetes mellitus diet education"	"200111000006116"	"8CA41"	"8CA4100"	"284350006"	"2575925018"	""	32
"Pre-existing diabetes mellitus, unspecified"	"213141000006111"	"L180X"	"L180X00"	"385051000000106"	"760131000000111"	""	32
"Polyneuropathy in diabetes"	"214921000006116"	"F372"	"F372.00"	"49455004"	"82373015"	""	32
"Maturity onset diabetes"	"223291000000111"	"C1001-1"	"C100111"	"44054006"	"493774016"	""	32
"Non-insulin dependent diabetes mellitus with hypoglyca coma"	"280511000006113"	"C109D"	"C109D00"	"719216001"	"3316336015"	""	32
"Non-insulin dependent diabetes mellitus with mononeuropathy"	"280521000006117"	"C109A"	"C109A00"	"420436000"	"3697667019"	""	32
"Non-insulin dependent diabetes mellitus with nephropathy"	"280531000006119"	"C109C"	"C109C00"	"420279001"	"3035432019"	""	32
"Non-insulin dependent diabetes mellitus with polyneuropathy"	"280541000006112"	"C109B"	"C109B00"	"713706002"	"3297353013"	""	32
"Non-insulin-dependent diabetes mellitus with ulcer"	"280551000006114"	"C1094"	"C109400"	"190389009"	"292580015"	""	32
"Non-insulin-dependent diabetes mellitus with peripheral angiopathy"	"280561000006111"	"C109F"	"C109F00"	"314902007"	"459307013"	""	32
"Non-insulin-dependent diabetes mellitus with multiple complications"	"280581000006118"	"C1093"	"C109300"	"190388001"	"292578014"	""	32
"Non-insulin-dependent diabetes mellitus with neuro comps"	"280591000006115"	"C1092"	"C109200"	"421326000"	"3695406015"	""	32
"Non-insulin depend diabetes mellitus with diabetic cataract"	"281161000006114"	"C109E"	"C109E00"	"420756003"	"3035281015"	""	32
"Type II diabetes mellitus uncontrolled"	"281171000006119"	"C1097"	"C109700"	"443694000"	"2842387018"	""	32
"Non-insulin dependent diabetes mellitus with neuropathic arthropathy"	"281181000006116"	"C109H"	"C109H00"	"314904008"	"459314010"	""	32
"Gangrene associated with type 2 diabetes mellitus"	"281211000006117"	"C1095"	"C109500"	"421631007"	"2967779019"	""	32
"Insulin therapy declined"	"298811000000118"	"8I3k"	"8I3k.00"	"198321000000100"	"298811000000118"	""	32
"Insulin needles changed daily"	"299191000000110"	"66Ag"	"66Ag.00"	"198471000000107"	"299191000000110"	""	1
"Insulin needles changed for each injection"	"299211000000114"	"66Ah"	"66Ah.00"	"198481000000109"	"299211000000114"	""	1
"Diabetic 6 month review"	"299261000000111"	"66Ai"	"66Ai.00"	"198501000000100"	"299261000000111"	""	1
"Gastroparesis with type 1 diabetes mellitus"	"299601000000114"	"C10EQ"	"C10EQ00"	"713702000"	"3698406016"	""	32
"Gastroparesis with type 2 diabetes mellitus"	"299621000000117"	"C10FR"	"C10FR00"	"713703005"	"3698412014"	""	32
"Referral to multidisciplinary diabetic clinic"	"299991000000112"	"8HTi"	"8HTi.00"	"198831000000108"	"299991000000112"	""	40
"Seen in multidisciplinary diabetic clinic"	"300021000000110"	"9N1o"	"9N1o.00"	"198841000000104"	"300021000000110"	""	37
"Insulin needles changed less than once a day"	"301161000000113"	"66Aj"	"66Aj.00"	"199291000000104"	"301161000000113"	""	1
"Did not attend diabetic retinopathy clinic"	"301191000000119"	"9N4p"	"9N4p.00"	"199301000000100"	"301191000000119"	""	37
"Diabetes monitoring lower risk albumin excretion"	"301611000000118"	"66Ak"	"66Ak.00"	"199481000000100"	"1749411000000114"	""	1
"Diabetes monitoring higher risk albumin excretion"	"301641000000117"	"66Al"	"66Al.00"	"199491000000103"	"1749311000000117"	""	1
"Referral to diabetic register"	"307661000000114"	"8HHy"	"8HHy.00"	"201961000000104"	"307661000000114"	""	40
"Patient consent given for addition to diabetic register"	"308071000000112"	"93C4"	"93C4.00"	"202151000000105"	"308071000000112"	""	37
"Referral to diabetic eye clinic"	"308811000000110"	"8HTk"	"8HTk.00"	"202461000000102"	"308811000000110"	""	40
"[X] Adverse reaction to insulins"	"354651000006115"	"U6023-2"	"U602312"	"293177002"	"433365019"	""	5
"[X] Adverse reaction to insulins and antidiabetic agents"	"354661000006118"	"U6023-1"	"U602311"	"430400006"	"2708697011"	""	5
"[X] Adverse reaction to insulins and antidiabetic agents NOS"	"354671000006113"	"U6023-E"	"U60231E"	"430400006"	"2708697011"	""	5
"[X]Diabetes mellitus"	"377001000006117"	"Cyu2"	"Cyu2.00"	"73211009"	"121589010"	""	32
"Insulin adverse reaction"	"468181000006111"	"TJ230"	"TJ23000"	"293177002"	"433365019"	""	5
"Adverse reaction to insulins and antidiabetic agents"	"468191000006114"	"TJ23"	"TJ23.00"	"430400006"	"2708697011"	""	5
"Insulin dose changed"	"472901000000116"	"66Am"	"66Am.00"	"703972004"	"3012379017"	""	1
"Diabetes type 1 review"	"479511000000117"	"66An"	"66An.00"	"279291000000109"	"479511000000117"	""	1
"Diabetes type 2 review"	"479571000000110"	"66Ao"	"66Ao.00"	"279321000000104"	"479571000000110"	""	1
"Referral to community diabetes specialist nurse"	"479981000000119"	"8Hl4"	"8Hl4.00"	"279521000000108"	"479981000000119"	""	40
"Diabetes mellitus associated with cystic fibrosis"	"494831000000119"	"C10N1"	"C10N100"	"426705001"	"2674608014"	""	32
"Non-insulin-dependent diabetes mellitus with ophthalm comps"	"587111000006111"	"C1091"	"C109100"	"422099009"	"3698440016"	""	32
"Non-insulin-dependent diabetes mellitus with renal comps"	"587521000006111"	"C1090"	"C109000"	"420279001"	"2615535015"	""	32
"Date diabetic treatment stopped"	"607851000006113"	"66AO"	"66AO.00"	"170773001"	"264721010"	""	1
"Diabetes mellitus with gangrene"	"616351000006115"	"C107-1"	"C107.11"	"422275004"	"2616612015"	""	32
"Diabetes mellitus with ketoacidotic coma"	"616381000006111"	"C103"	"C103.00"	"26298008"	"44045012"	""	32
"Nervous system disorder due to diabetes mellitus"	"616391000006114"	"C106"	"C106.00"	"422088007"	"3688477014"	""	32
"Eye disorder due to diabetes mellitus"	"616421000006118"	"C105"	"C105.00"	"25093002"	"3688467012"	""	32
"Peripheral vascular disorder due to diabetes mellitus"	"616441000006113"	"C107"	"C107.00"	"421895002"	"3688501014"	""	32
"Diabetes mellitus with polyneuropathy"	"616451000006110"	"C106-3"	"C106.13"	"49455004"	"82373015"	""	32
"Diabetes mellitus with renal manifestation"	"616461000006112"	"C104"	"C104.00"	"127013003"	"301016"	""	32
"Diabetes mellitus, adult onset, + neurological manifestation"	"616481000006119"	"C1061"	"C106100"	"421326000"	"2618196010"	""	32
"Diabetes mellitus, adult onset, + ophthalmic manifestation"	"616491000006116"	"C1051"	"C105100"	"422099009"	"2618233010"	""	32
"Diabetes mellitus, adult onset, with ketoacidosis"	"616531000006116"	"C1011"	"C101100"	"421750000"	"2618220016"	""	32
"Diabetes mellitus, adult onset, with ketoacidotic coma"	"616541000006114"	"C1031"	"C103100"	"421847006"	"2618218019"	""	32
"Diabetes mellitus, adult onset, with renal manifestation"	"616551000006111"	"C1041"	"C104100"	"420279001"	"2615535015"	""	32
"Diabetes mellitus, adult with gangrene"	"616561000006113"	"C1072"	"C107200"	"421631007"	"2618206011"	""	32
"Diabetes mellitus, adult, + other specified manifestation"	"616571000006118"	"C10y1"	"C10y100"	"73211009"	"121589010"	""	32
"Diabetes mellitus, adult, + peripheral circulatory disorder"	"616581000006115"	"C1071"	"C107100"	"422166005"	"2618204014"	""	32
"Diabetes mellitus, juvenile +peripheral circulatory disorder"	"616591000006117"	"C1070"	"C107000"	"421365002"	"2618205010"	""	32
"Diabetes mellitus, juvenile type, + ophthalmic manifestation"	"616601000006113"	"C1050"	"C105000"	"739681000"	"3537386015"	""	32
"Diabetes mellitus, juvenile type, with ketoacidosis"	"616641000006110"	"C1010"	"C101000"	"420270002"	"2618216015"	""	32
"Diabetes mellitus, juvenile type, with ketoacidotic coma"	"616651000006112"	"C1030"	"C103000"	"421075007"	"2618217012"	""	32
