medcodeid	originalreadcode	readcode	term	snomedctconceptid	snomedctdescriptionid	eth16	eth5
285989019	9SB	9SB..00	Other ethnic, mixed origin	186019001	285989019	7. Other Mixed	4. Mixed
285990011	9SB1	9SB1.00	Other ethnic, Black/White orig	186020007	285990011	7. Other Mixed	4. Mixed
285992015	9SB3	9SB3.00	Other ethnic, mixed white orig	186022004	285992015	7. Other Mixed	4. Mixed
285993013	9SB4	9SB4.00	Other ethnic, other mixed orig	186023009	285993013	7. Other Mixed	4. Mixed
141351000000111	9i6	9i6..00	Other Mixed background - ethnic category 2001 census	92451000000107	141351000000111	7. Other Mixed	4. Mixed
141471000000113	9i60	9i60.00	Black and Asian - ethnic category 2001 census	92581000000100	141471000000113	7. Other Mixed	4. Mixed
141481000000110	9i61	9i61.00	Black and Chinese - ethnic category 2001 census	92591000000103	141481000000110	7. Other Mixed	4. Mixed
157291000000115	9i62	9i62.00	Black and White - ethnic category 2001 census	110771000000104	157291000000115	7. Other Mixed	4. Mixed
141491000000112	9i63	9i63.00	Chinese and White - ethnic category 2001 census	92601000000109	141491000000112	7. Other Mixed	4. Mixed
158361000000116	9i64	9i64.00	Asian and Chinese - ethnic category 2001 census	92611000000106	158361000000116	7. Other Mixed	4. Mixed
937511000006119	9i65	9i65.00	Other Mixed or Mixed unspecified - ethnic category 2001 census	92621000000100	141501000000118	7. Other Mixed	4. Mixed
1968121000006114	9t07	9t07.00	Mixed multiple ethnic groups: any other Mixed or multiple ethnic background - England and Wales ethnic category 2011 census	976771000000108	2484911000000115	7. Other Mixed	4. Mixed
1968291000006119	9t15	9t15.00	Mixed multiple ethnic groups: any other Mixed or multiple ethnic background - Northern Ireland ethnic category 2011 census	977551000000106	2486561000000119	7. Other Mixed	4. Mixed
1968471000006116	9t26	9t26.00	Mixed or multiple ethnic groups: any Mixed or multiple ethnic group - Scotland ethnic category 2011 census	978051000000102	2487561000000117	7. Other Mixed	4. Mixed
8406531000006110	^ESCTET840653	NA	Ethnicity not stated	1024701000000100	2587011000000118	17. Not Stated	5. Not Stated
4740421000006111	^ESCTET474042	NA	Ethnicity / related nationality data	186034007	286004017	17. Not Stated	5. Not Stated
6260901000006118	^ESCTET626090	NA	Ethnic group	364699009	487864014	17. Not Stated	5. Not Stated
8224821000006111	^ESCTET822482	NA	Ethnicity	723621000000103	1582261000000111	17. Not Stated	5. Not Stated
6270391000006119	^ESCTET627039	NA	Ethnic groups (1991 census) (United Kingdom)	365455004	2982933016	17. Not Stated	5. Not Stated
6270401000006117	^ESCTET627040	NA	Ethnicity / related nationality data - finding	365456003	488665010	17. Not Stated	5. Not Stated
6270381000006117	^ESCTET627038	NA	Ethnic groups (1991 census) (UK)	365455004	2670706014	17. Not Stated	5. Not Stated
6597601000006118	^ESCTET659760	NA	Ethnic background	398089004	1777653018	17. Not Stated	5. Not Stated
6591901000006115	^ESCTET659190	NA	Ethnicity	397731000	1785938019	17. Not Stated	5. Not Stated
253627011	226	226..00	O/E - ethnic group	162730000	253627011	17. Not Stated	5. Not Stated
253628018	226-1	226..11	O/E - ethnic origin	162730000	253628018	17. Not Stated	5. Not Stated
253635014	226Z	226Z.00	O/E - ethnic group NOS	162730000	253627011	17. Not Stated	5. Not Stated
649261000006110	9S	9S...00	Ethnic group finding	397731000	1777341010	17. Not Stated	5. Not Stated
456652017	9SE	9SE..00	Ethnic group not recorded	312861003	456652017	17. Not Stated	5. Not Stated
286003011	9SZ	9SZ..00	Ethnic groups (census) NOS	397731000	1777341010	17. Not Stated	5. Not Stated
286005016	9T	9T...00	Ethnicity and other related nationality data	186034007	286005016	17. Not Stated	5. Not Stated
286006015	9T1	9T1..00	New Zealand ethnic groups	186035008	286006015	17. Not Stated	5. Not Stated
141291000000111	9i	9i...00	Ethnic category - 2001 census	92381000000106	141291000000111	17. Not Stated	5. Not Stated
141421000000114	9iG	9iG..00	Ethnic category not stated - 2001 census	92531000000104	141421000000114	17. Not Stated	5. Not Stated
2484471000000115	9t	9t...00	Ethnic category - 2011 census	976551000000109	2484471000000115	17. Not Stated	5. Not Stated
2484511000000112	9t0	9t0..00	Ethnic category - 2011 census England and Wales	976571000000100	2484511000000112	17. Not Stated	5. Not Stated
2484551000000111	9t1	9t1..00	Ethnic category - 2011 census Northern Ireland	976591000000101	2484551000000111	17. Not Stated	5. Not Stated
2484591000000115	9t2	9t2..00	Ethnic category - 2011 census Scotland	976611000000109	2484591000000115	17. Not Stated	5. Not Stated
